Date,Transaction,Loads,Withdrawal,Balance,Notes
2023-07-01 11:40:12 -0700 -0700,Speedy Mart Convenie,0.00,3.42,63.96,
2023-07-01 12:26:17 -0700 -0700,Boardwalk,0.00,11.48,52.48,
2023-07-01 15:32:41 -0700 -0700,Battlefield Equipment,0.00,0.00,52.48,Settled
2023-07-01 18:21:25 -0700 -0700,Cash back,0.05,0.00,52.53,
2023-07-01 18:26:12 -0700 -0700,0010-Cibc Mountain Rd + Walsh,0.00,43.50,9.03,
2023-07-02 14:39:04 -0700 -0700,Mcdonald's,0.00,0.00,9.03,Settled
2023-07-02 15:48:06 -0700 -0700,e-Transfer to: Joel Palk-Ricard,0.00,7.00,2.03,
2023-07-05 19:20:16 -0700 -0700,e-Transfer from: JOEL PALK-RICARD,200.00,0.00,202.03,
2023-07-05 23:16:42 -0700 -0700,Cover Fee,0.00,5.00,197.03,
2023-07-06 16:30:15 -0700 -0700,Food And Beverage 26,0.00,21.25,175.78,
2023-07-06 18:16:25 -0700 -0700,Food And Beverage 43,0.00,36.80,138.98,
2023-07-07 14:09:43 -0700 -0700,BATTLEFIELD EQUIP-MONC SAINTE-ROSE   NB,130.35,0.00,269.33,
2023-07-08 13:01:08 -0700 -0700,Tixr* Halifaxjazzfest,0.00,76.78,192.55,
2023-07-08 17:11:09 -0700 -0700,Food And Beverage 16,0.00,25.13,167.42,
2023-07-08 17:25:32 -0700 -0700,Food And Beverage 39,0.00,7.59,159.83,
2023-07-09 17:26:57 -0700 -0700,e-Transfer to: ECFC RBC,0.00,100.00,59.83,
2023-07-10 09:48:43 -0700 -0700,Circle K / Irving 2501,0.00,6.53,53.30,
2023-07-10 13:24:42 -0700 -0700,Memramcook Irving,0.00,15.14,38.16,
2023-07-11 10:13:51 -0700 -0700,Apple.com/Bill,0.00,4.59,33.57,
2023-07-11 10:31:13 -0700 -0700,e-Transfer from: JOEL PALK-RICARD,600.00,0.00,633.57,
2023-07-11 11:05:58 -0700 -0700,Sherwin Williams 76873,0.00,259.15,374.42,
2023-07-11 11:11:53 -0700 -0700,Sherwin Williams 76873,0.00,75.84,298.58,
2023-07-11 11:33:11 -0700 -0700,Coop De Dieppe,0.00,50.80,247.78,
2023-07-11 18:33:20 -0700 -0700,La Vallee Memramcook 8,0.00,29.64,218.14,
2023-07-12 07:32:04 -0700 -0700,e-Transfer from: JOEL PALK-RICARD,156.00,0.00,374.14,
2023-07-12 08:04:26 -0700 -0700,Sherwin Williams 76882,0.00,166.75,207.39,
2023-07-12 08:54:00 -0700 -0700,Jean Coutu 209,0.00,24.61,182.78,
2023-07-12 10:48:23 -0700 -0700,Petro Canada10456,0.00,16.72,166.06,
2023-07-12 11:40:36 -0700 -0700,Circle K / Irving,0.00,3.88,162.18,
2023-07-12 12:10:37 -0700 -0700,e-Transfer from: joel,480.00,0.00,642.18,
2023-07-12 12:15:24 -0700 -0700,Holiday Inn Express &,0.00,333.13,309.05,
2023-07-12 15:16:12 -0700 -0700,Moxie's Classic Grill,0.00,134.24,174.81,
2023-07-12 19:56:35 -0700 -0700,Economy Shoe Shop,0.00,38.33,136.48,
2023-07-13 16:44:51 -0700 -0700,Cash back,5.13,0.00,141.61,
2023-07-13 16:45:35 -0700 -0700,e-Transfer to: ECFC RBC,0.00,100.00,41.61,
2023-07-15 13:44:15 -0700 -0700,Cash back,5.12,0.00,46.73,
2023-07-15 13:45:03 -0700 -0700,Domino's Pizza #1090,0.00,31.85,14.88,
2023-07-15 14:44:58 -0700 -0700,e-Transfer from: joel,40.00,0.00,54.88,
2023-07-15 14:50:49 -0700 -0700,Vapecity,0.00,31.77,23.11,
2023-07-15 17:29:34 -0700 -0700,e-Transfer from: joel,23.52,0.00,46.63,
2023-07-15 17:32:35 -0700 -0700,Cineplex,0.00,14.01,32.62,
2023-07-16 12:28:32 -0700 -0700,Magnetic Hill Irving #,0.00,23.79,8.83,
2023-07-16 12:48:14 -0700 -0700,Magnetic Hill Home Har,0.00,8.04,0.79,
2023-07-17 09:53:13 -0700 -0700,e-Transfer from: joel,200.00,0.00,200.79,
2023-07-17 09:54:09 -0700 -0700,Tim Hortons,0.00,13.89,186.90,
2023-07-17 10:09:00 -0700 -0700,Sobey's Fast Fuel # 45,0.00,83.54,103.36,
2023-07-17 10:27:15 -0700 -0700,e-Transfer from: JOEL PALK-RICARD,400.00,0.00,503.36,
2023-07-17 10:52:35 -0700 -0700,Sherwin Williams 76882,0.00,227.45,275.91,
2023-07-17 10:55:18 -0700 -0700,Sherwin Williams 76882,0.00,171.86,104.05,
2023-07-17 11:40:31 -0700 -0700,Coop De Dieppe,0.00,12.50,91.55,
2023-07-17 11:45:49 -0700 -0700,Shell C80170,0.00,7.32,84.23,
2023-07-17 16:54:57 -0700 -0700,Pita Pit,0.00,45.63,38.60,
2023-07-18 14:10:44 -0700 -0700,COOKS HOME HARDWARE BL MONCTON       NB,177.46,0.00,216.06,
