Date,Transaction,Loads,Withdrawal,Balance,Notes
2023-06-05,Apple.com/Bill,0,14.94,234.86,
2023-06-06,Cover Fee,0,5,229.86,
2023-06-06,Cover Funds,50,0,279.86,
2023-06-06,e-Transfer to: ECFC RBC,0,100,179.86,
2023-06-06,e-Transfer to: ECFC RBC,0,80,99.86,
2023-06-06,0010-Cibc Mountain Rd + Walsh,0,63.5,36.36,
2023-06-06,e-Transfer to: ECFC RBC,0,30,6.36,
2023-06-11,Apple.com/Bill,0,4.59,1.77,
2023-06-21,e-Transfer from: JOEL PALK-RICARD,125,0,126.77,
2023-06-21,Microsoft*Xbox,0,103.49,23.28,
2023-06-23,e-Transfer from: JOEL PALK-RICARD,301,0,324.28,
2023-06-23,Sherwin Williams 76873,0,153.81,170.47,
2023-06-23,Sherwin Williams 76882,0,134.14,36.33,
2023-06-24,Apple.com/Bill,0,14.36,21.97,
2023-06-25,e-Transfer from: joel,163.19,0,185.16,
2023-06-25,Credit Building Subscription,0,60,125.16,
2023-06-26,Vape City,0,33,92.16,
2023-06-30,Debit card load from ***2278,1000,0,1092.16,
2023-06-30,Battlefield Equipment,0,1000,92.16,Pending
2023-06-30,Mcdonald's,0,16.78,75.38,Pending
2023-06-30,Flexible Credit Subscription,0,8,67.38,
